gall,galb,mu0,ra,dec,umag,gmag,rmag,imag,zmag,ymag
1.3696,-4.4016,13.9043,267.3696,-33.4016,24.421,22.899,21.974,21.08,20.899,21.462
-2.3021,-5.0625,15.3758,263.6979,-34.0625,24.947,23.576,22.339,22.347,21.531,21.067
-4.5903,-2.6374,13.6896,261.4097,-31.6374,24.084,22.826,21.926,21.235,20.662,20.481
-4.8347,-5.0245,13.5098,261.1653,-34.0245,24.383,22.576,21.525,21.207,21.36,20.418
3.1327,-3.1116,14.1458,269.1327,-32.1116,24.264,22.866,22.194,21.926,20.666,21.269
4.1276,-2.9888,15.4815,270.1276,-31.9888,25.435,23.548,22.643,21.998,21.994,21.295
1.0664,-1.1879,14.0294,267.0664,-30.1879,24.057,23.227,22.134,21.913,21.048,21.312
2.295,-5.6387,15.1614,268.295,-34.6387,24.914,23.887,22.058,21.558,22.157,21.86
0.4362,-3.5001,13.8462,266.4362,-32.5001,24.434,22.607,21.792,21.076,21.316,20.983
4.3507,-2.2795,14.6728,270.3507,-31.2795,24.461,23.408,22.292,21.263,21.31,21.268
3.1585,-5.1139,15.4168,269.1585,-34.1139,25.404,23.945,22.281,21.884,21.246,21.042
-4.9726,-4.0597,14.933,261.0274,-33.0597,24.961,23.142,23.031,22.041,21.895,21.321
3.574,-5.6855,15.461,269.574,-34.6855,24.92,23.58,22.568,22.352,22.168,21.101
-4.6641,-2.3706,14.6491,261.3359,-31.3706,24.369,23.013,22.742,21.817,20.993,21.016
2.2966,-5.5612,15.4667,268.2966,-34.5612,24.764,23.346,22.534,22.213,21.957,21.594
-3.2434,-4.0245,15.1741,262.7566,-33.0245,25.102,23.618,22.518,21.635,21.347,21.294
3.6318,-1.6324,15.0565,269.6318,-30.6324,24.681,23.307,22.883,21.53,21.295,21.613
0.4146,-3.6385,15.277,266.4146,-32.6385,24.729,23.828,22.73,22.13,21.156,21.4
-2.0029,-1.4369,14.763,263.9971,-30.4369,24.812,23.373,22.439,22.186,21.661,20.717
-0.7731,-2.1704,14.2127,265.2269,-31.1704,25.29,23.23,22.186,21.397,21.188,20.588
-4.7168,-1.4234,14.5566,261.2832,-30.4234,24.862,23.191,21.868,21.298,21.427,20.696
-3.7572,-5.363,13.953,262.2428,-34.363,24.705,22.786,21.86,20.917,21.412,20.682
1.7062,-5.6322,15.0551,267.7062,-34.6322,25.091,23.5,22.241,21.723,21.728,21.702
1.4719,-5.6484,13.8402,267.4719,-34.6484,24.655,22.919,21.979,21.794,21.095,20.872
1.1539,-1.6557,14.6544,267.1539,-30.6557,24.424,23.115,22.164,21.665,21.552,21.229
-1.1632,-2.8297,14.5718,264.8368,-31.8297,24.657,23.414,22.273,21.375,20.967,20.7
4.9721,-3.5171,14.8438,270.9721,-32.5171,25.0,23.646,22.399,21.639,21.412,21.933
4.8084,-5.1823,15.021,270.8084,-34.1823,25.005,23.558,22.5,21.765,21.149,21.302
1.8554,-2.6313,13.7197,267.8554,-31.6313,24.302,23.374,21.849,21.34,20.59,21.385
1.5046,-4.4099,14.7499,267.5046,-33.4099,24.675,23.185,22.179,21.577,21.347,20.915
1.8845,-2.4456,14.3279,267.8845,-31.4456,24.586,23.32,21.848,21.297,21.483,20.794
-1.1108,-3.6982,14.7284,264.8892,-32.6982,24.632,23.242,22.165,21.708,21.982,21.944
-3.649,-3.4627,14.888,262.351,-32.4627,24.217,23.514,22.765,21.985,21.118,20.921
2.2149,-2.0517,14.671,268.2149,-31.0517,24.477,23.086,22.448,21.951,21.387,21.261
0.2535,-5.5363,14.9658,266.2535,-34.5363,25.126,23.817,22.659,22.048,21.462,21.181
-1.8976,-3.1062,14.5401,264.1024,-32.1062,25.237,23.323,22.684,21.533,21.428,20.826
-0.1416,-5.0138,14.4257,265.8584,-34.0138,25.257,23.571,21.859,21.104,21.388,21.661
3.8949,-1.9593,14.0735,269.8949,-30.9593,24.566,22.657,22.19,21.197,21.145,20.536
4.3404,-3.5558,13.9583,270.3404,-32.5558,24.747,22.831,21.657,21.464,20.689,21.048
-1.422,-1.0565,14.8906,264.578,-30.0565,25.218,23.178,22.345,21.445,21.564,21.577
0.7153,-5.0853,14.8914,266.7153,-34.0853,24.738,23.286,22.591,21.921,21.713,20.942
-1.7813,-1.1849,13.891,264.2187,-30.1849,23.936,22.738,22.43,21.168,20.791,20.176
0.943,-1.9954,15.4437,266.943,-30.9954,25.231,23.686,22.487,21.947,22.315,20.988
